Lat,Long
39.12237252,-87.359658
39.12237252,-87.35956823
39.12237252,-87.35947847
39.12237252,-87.35938871
39.12237252,-87.35831156
39.12237252,-87.35660606
39.12230288,-87.36297922
39.12230288,-87.36262017
39.12230288,-87.36190207
39.12230288,-87.36046586
39.12230288,-87.359658
39.12230288,-87.35929895
39.12230288,-87.35822179
39.12230288,-87.3565163
39.12223325,-87.36297922
39.12223325,-87.36253041
39.12223325,-87.3618123
39.12223325,-87.36046586
39.12223325,-87.359658
39.12223325,-87.35920918
39.12223325,-87.35813203
39.12223325,-87.35642654
39.12216361,-87.36288946
39.12216361,-87.36244064
39.12216361,-87.3618123
39.12216361,-87.36046586
39.12216361,-87.359658
39.12216361,-87.35911942
39.12216361,-87.35804227
39.12216361,-87.35633678
39.12209397,-87.36279969
39.12209397,-87.36235088
39.12209397,-87.3618123
39.12209397,-87.36046586
39.12209397,-87.359658
39.12209397,-87.35902966
39.12209397,-87.35795251
39.12209397,-87.35624701
39.12202434,-87.36279969
39.12202434,-87.36226112
39.12202434,-87.3618123
39.12202434,-87.36046586
39.12202434,-87.359658
39.12202434,-87.3589399
39.12202434,-87.35786274
39.12202434,-87.35615725
39.1219547,-87.36270993
39.1219547,-87.36217135
39.1219547,-87.36208159
39.1219547,-87.36199183
39.1219547,-87.3618123
39.1219547,-87.36046586
39.1219547,-87.359658
39.1219547,-87.35885013
39.1219547,-87.35777298
39.1219547,-87.35615725
39.12188506,-87.36262017
39.12188506,-87.36190207
39.12188506,-87.3618123
39.12188506,-87.36046586
39.12188506,-87.359658
39.12188506,-87.35876037
39.12188506,-87.35768322
39.12188506,-87.35615725
39.12181543,-87.36253041
39.12181543,-87.3618123
39.12181543,-87.36055562
39.12181543,-87.359658
39.12181543,-87.35867061
39.12181543,-87.35759345
39.12181543,-87.35606749
39.12174579,-87.36244064
39.12174579,-87.3618123
39.12174579,-87.36172254
39.12174579,-87.36055562
39.12174579,-87.35974776
39.12174579,-87.35858084
39.12174579,-87.35750369
39.12174579,-87.35606749
39.12167615,-87.36235088
39.12167615,-87.3618123
39.12167615,-87.36163278
39.12167615,-87.36055562
39.12167615,-87.35974776
39.12167615,-87.35849108
39.12167615,-87.35741393
39.12167615,-87.35606749
39.12160652,-87.36226112
39.12160652,-87.3618123
39.12160652,-87.36154302
39.12160652,-87.36055562
39.12160652,-87.35974776
39.12160652,-87.35840132
39.12160652,-87.35732417
39.12160652,-87.35606749
39.12153688,-87.36217135
39.12153688,-87.3618123
39.12153688,-87.36145325
39.12153688,-87.36055562
39.12153688,-87.35974776
39.12153688,-87.35831156
39.12153688,-87.35822179
39.12153688,-87.3572344
39.12153688,-87.35606749
39.12146724,-87.36208159
39.12146724,-87.3618123
39.12146724,-87.36136349
39.12146724,-87.36127373
39.12146724,-87.36055562
39.12146724,-87.35983752
39.12146724,-87.35813203
39.12146724,-87.35804227
39.12146724,-87.35795251
39.12146724,-87.35714464
39.12146724,-87.35606749
39.1213976,-87.36199183
39.1213976,-87.3618123
39.1213976,-87.36118396
39.1213976,-87.36055562
39.1213976,-87.35786274
39.1213976,-87.35705488
39.1213976,-87.35606749
39.12132797,-87.36190207
39.12132797,-87.3618123
39.12132797,-87.3610942
39.12132797,-87.36055562
39.12132797,-87.35777298
39.12132797,-87.35768322
39.12132797,-87.35759345
